,importance
log_return_lag1,0.0283417
log_return_lag2,0.026925936
log_return,0.026481124
log_return_lag3,0.024821665
volume_ratio_lag3,0.021520117
ret_5d,0.016275007
spy_ret_5d,0.016269406
bb_pct_b_lag3,0.015509241
spy_above_200,0.01471045
stoch_d,0.0146097755
volume_ratio_lag2,0.01375878
atr_pct_lag5,0.013453772
bb_pct_b_lag2,0.013401671
volume_ratio_lag1,0.0132836765
spy_ret_20d,0.012801865
hl_range,0.012393094
sector_above_sma50,0.012000622
atr_pct,0.011883792
bb_pct_b,0.011543327
stoch_k,0.011531914
rsi,0.011528162
atr_pct_lag3,0.01136925
ret_10d,0.011059345
rs_vs_spy_5d,0.010930582
gap,0.010818073
stoch_k_lag1,0.010721128
close_to_sma20,0.010717821
atr_pct_lag2,0.010714457
bb_squeeze,0.010693334
atr_pct_lag1,0.010579256
bb_pct_b_lag1,0.010367166
stoch_k_lag2,0.010292051
dist_52w_low,0.010154609
mfi,0.0101057
obv_divergence,0.009937537
obv_divergence_lag1,0.00990077
volume_ratio,0.009866629
bb_pct_b_lag5,0.009640301
log_return_lag5,0.00951978
close_to_sma20_lag3,0.0094704265
close_to_sma20_lag2,0.009429443
close_to_sma20_lag1,0.009416894
dist_52w_high,0.009412567
rsi_lag1,0.0092235
bb_bandwidth_lag5,0.009192986
close_to_sma20_lag5,0.009081719
stoch_k_lag3,0.00903201
obv_divergence_lag2,0.008915589
macd_pct_lag3,0.008798703
sector,0.008767512
stoch_k_lag5,0.008759037
ret_63d,0.008757967
ret_126d,0.008660806
sma20_slope_lag5,0.0086270375
rsi_lag5,0.0086240135
macd_signal_pct,0.008536229
rs_vs_sector_5d,0.008506524
macd_pct,0.008499281
close_to_sma50,0.008474419
mom_12_1,0.008421832
rsi_lag3,0.008418067
bb_bandwidth_lag2,0.008408562
macd_hist,0.00840092
bb_bandwidth,0.008326989
obv_divergence_lag3,0.008284407
sma20_slope_lag1,0.008280811
close_to_sma200,0.008236232
macd_hist_lag2,0.008175917
rsi_lag2,0.008169826
bb_bandwidth_lag3,0.008121528
bb_bandwidth_lag1,0.0080694435
macd_pct_lag2,0.008058947
ret_20d,0.008054369
macd_pct_lag5,0.008020056
mfi_lag1,0.007990203
obv_divergence_lag5,0.007962196
mfi_lag2,0.007909915
volume_ratio_lag5,0.007871474
sma20_slope_lag2,0.007869586
macd_hist_lag1,0.007855442
sma20_slope_lag3,0.007853522
adx,0.007817872
sma20_slope,0.007811533
adx_lag1,0.007800779
macd_pct_lag1,0.00774475
mfi_lag3,0.007581823
macd_hist_lag5,0.00757496
macd_hist_lag3,0.007569115
adx_lag2,0.007564639
rs_vs_sector_20d,0.007496672
ticker_encoded,0.007441438
rs_vs_spy_20d,0.007358958
sector_above_sma200,0.007281455
mfi_lag5,0.007242199
adx_lag3,0.007212144
adx_lag5,0.007121896
